Calories,"Protein
(g)","Total Fat
(g)","Carbs
(g)","Sugars
(g)","Sodium 
(mg)","Trans Fat
(g)",Protein_per_Calorie,Fat_per_Calorie,Carbs_per_Calorie,Company_Burger King,Company_KFC,Company_McDonald’s,Company_Pizza Hut,Company_Taco Bell,Company_Wendy’s,Item,Company
430.0,12.0,17.0,57.0,2.0,810.0,0.0,0.027906976744186046,0.03953488372093023,0.1325581395348837,0.0,0.0,0.0,0.0,1.0,0.0,Power Menu Bowl – Veggie,Taco Bell
470.0,26.0,19.0,50.0,2.0,1200.0,0.0,0.05531914893617021,0.04042553191489362,0.10638297872340426,0.0,0.0,0.0,0.0,1.0,0.0,Power Menu Bowl – Chicken,Taco Bell
480.0,25.0,20.0,51.0,2.0,1150.0,0.0,0.052083333333333336,0.041666666666666664,0.10625,0.0,0.0,0.0,0.0,1.0,0.0,Power Menu Bowl – Steak,Taco Bell
430.0,12.0,17.0,57.0,2.0,810.0,0.0,0.027906976744186046,0.03953488372093023,0.1325581395348837,0.0,0.0,0.0,0.0,1.0,0.0,Power Menu Bowl – Veggie (V),Taco Bell
670.0,21.0,41.0,50.0,3.0,1270.0,0.0,0.03134328358208955,0.06119402985074627,0.07462686567164178,0.0,0.0,0.0,0.0,1.0,0.0,Breakfast Crunchwrap – Bacon,Taco Bell
720.0,21.0,47.0,51.0,3.0,1210.0,0.0,0.029166666666666667,0.06527777777777778,0.07083333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Breakfast Crunchwrap – Sausage,Taco Bell
660.0,24.0,38.0,51.0,3.0,1300.0,0.0,0.03636363636363636,0.05757575757575758,0.07727272727272727,0.0,0.0,0.0,0.0,1.0,0.0,Breakfast Crunchwrap – Steak,Taco Bell
0.0,0.0,0.0,1.0,0.0,50.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Breakfast Salsa Packet (V),Taco Bell
350.0,13.0,16.0,36.0,3.0,870.0,0.0,0.037142857142857144,0.045714285714285714,0.10285714285714286,0.0,0.0,0.0,0.0,1.0,0.0,Cheesy Toasted Breakfast Burrito – Bacon,Taco Bell
340.0,10.0,14.0,43.0,3.0,750.0,0.0,0.029411764705882353,0.041176470588235294,0.1264705882352941,0.0,0.0,0.0,0.0,1.0,0.0,Cheesy Toasted Breakfast Burrito – Fiesta Potato (V),Taco Bell
340.0,11.0,17.0,36.0,3.0,730.0,0.0,0.03235294117647059,0.05,0.10588235294117647,0.0,0.0,0.0,0.0,1.0,0.0,Cheesy Toasted Breakfast Burrito – Sausage,Taco Bell
160.0,2.0,9.0,17.0,10.0,80.0,0.0,0.0125,0.05625,0.10625,0.0,0.0,0.0,0.0,1.0,0.0,Cinnabon® Delights™ (2 Pack) (V),Taco Bell
930.0,9.0,53.0,104.0,59.0,480.0,2.0,0.00967741935483871,0.05698924731182796,0.11182795698924732,0.0,0.0,0.0,0.0,1.0,0.0,Cinnabon® Delights™ (12 Pack – Serves 4) (V),Taco Bell
560.0,24.0,30.0,49.0,3.0,1290.0,0.0,0.04285714285714286,0.05357142857142857,0.0875,0.0,0.0,0.0,0.0,1.0,0.0,Grande Toasted Breakfast Burrito – Bacon,Taco Bell
560.0,22.0,31.0,49.0,3.0,1150.0,0.0,0.039285714285714285,0.055357142857142855,0.0875,0.0,0.0,0.0,0.0,1.0,0.0,Grande Toasted Breakfast Burrito – Sausage,Taco Bell
560.0,27.0,28.0,50.0,3.0,1310.0,0.0,0.048214285714285716,0.05,0.08928571428571429,0.0,0.0,0.0,0.0,1.0,0.0,Grande Toasted Breakfast Burrito – Steak,Taco Bell
160.0,1.0,12.0,13.0,0.0,270.0,0.0,0.00625,0.075,0.08125,0.0,0.0,0.0,0.0,1.0,0.0,Hash Brown (V),Taco Bell
570.0,21.0,33.0,49.0,2.0,1270.0,0.0,0.03684210526315789,0.05789473684210526,0.08596491228070176,0.0,0.0,0.0,0.0,1.0,0.0,Hash Brown Toasted Breakfast Burrito – Bacon,Taco Bell
570.0,18.0,34.0,49.0,2.0,1130.0,0.0,0.031578947368421054,0.05964912280701754,0.08596491228070176,0.0,0.0,0.0,0.0,1.0,0.0,Hash Brown Toasted Breakfast Burrito – Sausage,Taco Bell
570.0,24.0,30.0,50.0,2.0,1290.0,0.0,0.042105263157894736,0.05263157894736842,0.08771929824561403,0.0,0.0,0.0,0.0,1.0,0.0,Hash Brown Toasted Breakfast Burrito – Steak,Taco Bell
190.0,7.0,8.0,34.0,46.0,46.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,7-Up (16 fl oz),Taco Bell
100.0,7.0,8.0,34.0,26.0,26.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Brisk® Mango Iced Tea (16 fl oz),Taco Bell
0.0,7.0,8.0,34.0,0.0,0.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Brisk® Unsweetened No Lemon Iced Tea (16 fl oz),Taco Bell
0.0,7.0,8.0,34.0,0.0,0.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Diet Dr Pepper® (16 fl oz),Taco Bell
5.0,7.0,8.0,34.0,1.0,1.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Diet Mtn Dew® (16 fl oz),Taco Bell
0.0,7.0,8.0,34.0,0.0,0.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Diet Pepsi® (16 fl oz),Taco Bell
190.0,7.0,8.0,34.0,51.0,52.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Dr Pepper® (16 fl oz),Taco Bell
30.0,7.0,8.0,34.0,6.0,7.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,G2 – Fruit Punch (16 fl oz),Taco Bell
220.0,7.0,8.0,34.0,58.0,59.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Mtn Dew® (16 fl oz),Taco Bell
220.0,7.0,8.0,34.0,59.0,59.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Mtn Dew® Baja Blast™ (16 fl oz),Taco Bell
5.0,7.0,8.0,34.0,0.0,0.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Mtn Dew® Baja Blast Zero Sugar (16 fl oz),Taco Bell
70.0,7.0,8.0,34.0,18.0,18.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Mtn Dew® Kickstart™ Orange Citrus (16 fl oz),Taco Bell
190.0,7.0,8.0,34.0,52.0,52.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Mug® Root Beer (16 fl oz),Taco Bell
200.0,7.0,8.0,34.0,55.0,55.0,0.0,0.02857142857142857,0.03900966183574879,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,Pepsi® (16 fl oz),Taco Bell
